experiment,iteration,mutation_ms,n_gaussians_after,n_gaussians_before,operation,scene,score_ms,total_ms
full,600,127.95887756347656,63458,54275,densify,bicycle,56.04470443725586,184.00358200073242
full,700,46.7957763671875,77589,63458,densify,bicycle,10.882975578308105,57.678751945495605
full,800,4.7387518882751465,96343,77589,densify,bicycle,12.741951942443848,17.480703830718994
full,900,4.753632068634033,115408,96343,densify,bicycle,10.52774429321289,15.281376361846924
full,1000,4.592512130737305,135657,115408,densify,bicycle,11.691136360168457,16.28364849090576
full,1100,5.643263816833496,160625,135657,densify,bicycle,9.876383781433105,15.519647598266602
full,1200,5.655488014221191,186121,160625,densify,bicycle,8.9519681930542,14.60745620727539
full,1300,5.302080154418945,206368,186121,densify,bicycle,8.613759994506836,13.915840148925781
full,1400,6.458303928375244,235078,206368,densify,bicycle,10.678655624389648,17.136959552764893
full,1500,5.194752216339111,256350,235078,densify,bicycle,8.405632019042969,13.60038423538208
full,1600,27.09401512145996,288893,256350,densify,bicycle,9.081888198852539,36.1759033203125
full,1700,6.121535778045654,318603,288893,densify,bicycle,8.684639930725098,14.806175708770752
full,1800,6.067200183868408,355782,318603,densify,bicycle,8.78774356842041,14.854943752288818
full,1900,6.283967971801758,381645,355782,densify,bicycle,9.915616035461426,16.199584007263184
full,2000,6.727680206298828,409725,381645,densify,bicycle,8.475744247436523,15.203424453735352
full,2100,8.511296272277832,437073,409725,densify,bicycle,9.027520179748535,17.538816452026367
full,2200,7.285759925842285,464921,437073,densify,bicycle,8.888319969177246,16.17407989501953
full,2300,7.903135776519775,497390,464921,densify,bicycle,9.351263999938965,17.25439977645874
full,2400,7.191296100616455,526555,497390,densify,bicycle,9.52233600616455,16.713632106781006
full,2500,7.39737606048584,562836,526555,densify,bicycle,9.34598445892334,16.74336051940918
full,2600,7.757791996002197,598868,562836,densify,bicycle,9.46895980834961,17.226751804351807
full,2700,8.326144218444824,629863,598868,densify,bicycle,9.541631698608398,17.867775917053223
full,2800,9.741312026977539,656862,629863,densify,bicycle,8.965120315551758,18.706432342529297
full,2900,10.237055778503418,683469,656862,densify,bicycle,9.763839721679688,20.000895500183105
full,3000,9.10643196105957,713938,683469,densify,bicycle,9.778176307678223,18.884608268737793
full,3100,9.41808032989502,722621,713938,densify,bicycle,12.10860824584961,21.52668857574463
full,3200,9.8919038772583,760225,722621,densify,bicycle,12.254976272583008,22.14688014984131
full,3300,9.537535667419434,780707,760225,densify,bicycle,10.333184242248535,19.87071990966797
full,3400,9.253888130187988,812726,780707,densify,bicycle,10.52569580078125,19.77958393096924
full,3500,10.093567848205566,840752,812726,densify,bicycle,10.343040466308594,20.43660831451416
full,3600,9.13203239440918,871027,840752,densify,bicycle,10.705920219421387,19.837952613830566
full,3700,9.637887954711914,886893,871027,densify,bicycle,10.805024147033691,20.442912101745605
full,3800,9.761792182922363,913917,886893,densify,bicycle,11.220992088317871,20.982784271240234
full,3900,11.598591804504395,951451,913917,densify,bicycle,11.236607551574707,22.8351993560791
full,4000,10.076383590698242,979431,951451,densify,bicycle,10.77347183227539,20.849855422973633
full,4100,10.84108829498291,1004781,979431,densify,bicycle,11.206656455993652,22.047744750976562
full,4200,10.497023582458496,1029608,1004781,densify,bicycle,10.711296081542969,21.208319664001465
full,4300,10.608448028564453,1037908,1029608,densify,bicycle,10.68064022064209,21.289088249206543
full,4400,12.17091178894043,1060704,1037908,densify,bicycle,10.61411190032959,22.78502368927002
full,4500,11.892736434936523,1078061,1060704,densify,bicycle,10.774527549743652,22.667263984680176
full,4600,10.754048347473145,1090986,1078061,densify,bicycle,10.995712280273438,21.749760627746582
full,4700,10.676223754882812,1101303,1090986,densify,bicycle,11.198464393615723,21.874688148498535
full,4800,11.752544403076172,1116000,1101303,densify,bicycle,11.336352348327637,23.08889675140381
full,4900,11.43286418914795,1141991,1116000,densify,bicycle,10.764384269714355,22.197248458862305
full,5000,11.289600372314453,1156844,1141991,densify,bicycle,10.883071899414062,22.172672271728516
full,5100,11.285823822021484,1164637,1156844,densify,bicycle,10.444831848144531,21.730655670166016
full,5200,11.872384071350098,1172456,1164637,densify,bicycle,11.265024185180664,23.13740825653076
full,5300,11.407679557800293,1194317,1172456,densify,bicycle,10.73971176147461,22.147391319274902
full,5400,14.117664337158203,1201585,1194317,densify,bicycle,11.364640235900879,25.482304573059082
full,5500,11.740320205688477,1210508,1201585,densify,bicycle,10.880000114440918,22.620320320129395
full,5600,11.956255912780762,1229410,1210508,densify,bicycle,10.278559684753418,22.23481559753418
full,5700,12.062944412231445,1247990,1229410,densify,bicycle,10.717184066772461,22.780128479003906
full,5800,12.118271827697754,1264667,1247990,densify,bicycle,10.42841625213623,22.546688079833984
full,5900,11.726847648620605,1275858,1264667,densify,bicycle,11.2424955368042,22.969343185424805
full,6000,12.14361572265625,1292132,1275858,densify,bicycle,10.077183723449707,22.220799446105957
full,6100,13.4933443069458,1290264,1292132,densify,bicycle,13.332511901855469,26.82585620880127
full,6200,12.176383972167969,1299979,1290264,densify,bicycle,12.048383712768555,24.224767684936523
full,6300,12.590304374694824,1314950,1299979,densify,bicycle,12.108927726745605,24.69923210144043
full,6400,12.843903541564941,1334544,1314950,densify,bicycle,12.045439720153809,24.88934326171875
full,6500,12.509056091308594,1343639,1334544,densify,bicycle,11.141247749328613,23.650303840637207
full,6600,12.75391960144043,1363291,1343639,densify,bicycle,11.84563159942627,24.5995512008667
full,6700,12.758015632629395,1365891,1363291,densify,bicycle,11.09603214263916,23.854047775268555
full,6800,12.767935752868652,1378509,1365891,densify,bicycle,11.659392356872559,24.42732810974121
full,6900,12.760831832885742,1382728,1378509,densify,bicycle,11.032832145690918,23.79366397857666
full,7000,12.938240051269531,1386075,1382728,densify,bicycle,11.018143653869629,23.95638370513916
full,7100,12.697343826293945,1389462,1386075,densify,bicycle,10.836223602294922,23.533567428588867
full,7200,12.601344108581543,1398363,1389462,densify,bicycle,10.789888381958008,23.39123249053955
full,7300,12.973343849182129,1412637,1398363,densify,bicycle,11.675647735595703,24.648991584777832
full,7400,13.040639877319336,1425214,1412637,densify,bicycle,11.729567527770996,24.770207405090332
full,7500,12.997632026672363,1437584,1425214,densify,bicycle,11.511808395385742,24.509440422058105
full,7600,13.026304244995117,1447500,1437584,densify,bicycle,11.75551986694336,24.781824111938477
full,7700,13.351167678833008,1448886,1447500,densify,bicycle,11.189248085021973,24.54041576385498
full,7800,13.022879600524902,1452335,1448886,densify,bicycle,11.263232231140137,24.28611183166504
full,7900,12.988351821899414,1464022,1452335,densify,bicycle,11.208864212036133,24.197216033935547
full,8000,13.452032089233398,1474456,1464022,densify,bicycle,11.473152160644531,24.92518424987793
full,8100,13.621376037597656,1475758,1474456,densify,bicycle,11.201375961303711,24.822751998901367
full,8200,14.5797119140625,1486112,1475758,densify,bicycle,11.173888206481934,25.753600120544434
full,8300,13.58240032196045,1489967,1486112,densify,bicycle,11.471648216247559,25.054048538208008
full,8400,13.749088287353516,1496711,1489967,densify,bicycle,10.565792083740234,24.31488037109375
full,8500,13.361151695251465,1510987,1496711,densify,bicycle,11.382559776306152,24.743711471557617
full,8600,13.676351547241211,1521341,1510987,densify,bicycle,10.935487747192383,24.611839294433594
full,8700,13.671615600585938,1529107,1521341,densify,bicycle,11.324416160583496,24.996031761169434
full,8800,13.822815895080566,1534046,1529107,densify,bicycle,10.782560348510742,24.60537624359131
full,8900,14.180543899536133,1538122,1534046,densify,bicycle,10.951680183410645,25.132224082946777
full,9000,14.943519592285156,1547619,1538122,densify,bicycle,10.677215576171875,25.62073516845703
full,9100,13.690624237060547,1550020,1547619,densify,bicycle,13.413536071777344,27.10416030883789
full,9200,13.98579216003418,1554549,1550020,densify,bicycle,12.279808044433594,26.265600204467773
full,9300,14.332927703857422,1557113,1554549,densify,bicycle,12.164095878601074,26.497023582458496
full,9400,13.974528312683105,1558297,1557113,densify,bicycle,12.196512222290039,26.171040534973145
full,9500,13.837632179260254,1559923,1558297,densify,bicycle,11.34988784790039,25.187520027160645
full,9600,13.889535903930664,1559230,1559923,densify,bicycle,10.813440322875977,24.70297622680664
full,9700,13.957247734069824,1559944,1559230,densify,bicycle,10.71996784210205,24.677215576171875
full,9800,14.21014404296875,1566125,1559944,densify,bicycle,11.670528411865234,25.880672454833984
full,9900,14.04700756072998,1578796,1566125,densify,bicycle,11.22326374053955,25.27027130126953
full,10000,13.997056007385254,1581107,1578796,densify,bicycle,11.554816246032715,25.55187225341797
full,10100,13.948927879333496,1592404,1581107,densify,bicycle,11.578144073486328,25.527071952819824
full,10200,14.556159973144531,1595313,1592404,densify,bicycle,12.326848030090332,26.883008003234863
full,10300,14.870816230773926,1596769,1595313,densify,bicycle,11.945856094360352,26.816672325134277
full,10400,14.148768424987793,1598568,1596769,densify,bicycle,10.83289623260498,24.981664657592773
full,10500,14.237759590148926,1606277,1598568,densify,bicycle,11.568896293640137,25.806655883789062
full,10600,14.396415710449219,1612317,1606277,densify,bicycle,12.007424354553223,26.40384006500244
full,10700,14.279359817504883,1611251,1612317,densify,bicycle,10.514592170715332,24.793951988220215
full,10800,14.034943580627441,1612727,1611251,densify,bicycle,11.468799591064453,25.503743171691895
full,10900,14.211968421936035,1617804,1612727,densify,bicycle,11.804448127746582,26.016416549682617
full,11000,14.873408317565918,1626860,1617804,densify,bicycle,11.691935539245605,26.565343856811523
full,11100,14.379039764404297,1630057,1626860,densify,bicycle,11.766400337219238,26.145440101623535
full,11200,14.406656265258789,1635713,1630057,densify,bicycle,11.485024452209473,25.89168071746826
full,11300,14.666751861572266,1640253,1635713,densify,bicycle,11.150336265563965,25.81708812713623
full,11400,14.51148796081543,1646295,1640253,densify,bicycle,11.317184448242188,25.828672409057617
full,11500,14.028063774108887,1651555,1646295,densify,bicycle,10.74073600769043,24.768799781799316
full,11600,14.878656387329102,1656562,1651555,densify,bicycle,12.173600196838379,27.05225658416748
full,11700,14.174176216125488,1658492,1656562,densify,bicycle,11.428895950317383,25.60307216644287
full,11800,14.608384132385254,1659628,1658492,densify,bicycle,11.13804817199707,25.746432304382324
full,11900,15.175680160522461,1666143,1659628,densify,bicycle,11.8220796585083,26.99775981903076
full,12000,14.419743537902832,1664965,1666143,densify,bicycle,10.897567749023438,25.31731128692627
full,12100,14.462592124938965,1663117,1664965,densify,bicycle,14.159232139587402,28.621824264526367
full,12200,14.573568344116211,1666269,1663117,densify,bicycle,12.204031944274902,26.777600288391113
full,12300,14.497088432312012,1673375,1666269,densify,bicycle,12.058624267578125,26.555712699890137
full,12400,15.448063850402832,1680831,1673375,densify,bicycle,12.317631721496582,27.765695571899414
full,12500,15.50438404083252,1690052,1680831,densify,bicycle,12.110624313354492,27.61500835418701
full,12600,14.864383697509766,1698699,1690052,densify,bicycle,12.382207870483398,27.246591567993164
full,12700,14.7957763671875,1696299,1698699,densify,bicycle,10.905599594116211,25.70137596130371
full,12800,14.947360038757324,1699002,1696299,densify,bicycle,11.771903991699219,26.719264030456543
full,12900,14.698431968688965,1703785,1699002,densify,bicycle,11.571200370788574,26.26963233947754
full,13000,15.061023712158203,1711619,1703785,densify,bicycle,12.056351661682129,27.117375373840332
full,13100,14.855968475341797,1713583,1711619,densify,bicycle,11.232640266418457,26.088608741760254
full,13200,15.234016418457031,1718279,1713583,densify,bicycle,11.45849609375,26.69251251220703
full,13300,15.376383781433105,1718873,1718279,densify,bicycle,11.1278076171875,26.504191398620605
full,13400,15.190239906311035,1721639,1718873,densify,bicycle,11.242560386657715,26.43280029296875
full,13500,17.44156837463379,1723211,1721639,densify,bicycle,12.128576278686523,29.570144653320312
full,13600,15.372063636779785,1724769,1723211,densify,bicycle,11.796704292297363,27.16876792907715
full,13700,14.944479942321777,1723554,1724769,densify,bicycle,11.12985610961914,26.074336051940918
full,13800,15.490143775939941,1724828,1723554,densify,bicycle,11.841567993164062,27.331711769104004
full,13900,15.607872009277344,1731104,1724828,densify,bicycle,10.900256156921387,26.50812816619873
full,14000,15.086591720581055,1731569,1731104,densify,bicycle,11.465344429016113,26.551936149597168
full,14100,15.528127670288086,1733888,1731569,densify,bicycle,11.552767753601074,27.08089542388916
full,14200,15.00979232788086,1732256,1733888,densify,bicycle,11.531264305114746,26.541056632995605
full,14300,14.708703994750977,1733732,1732256,densify,bicycle,11.627327919006348,26.336031913757324
full,14400,15.410176277160645,1737189,1733732,densify,bicycle,11.961343765258789,27.371520042419434
full,14500,15.889120101928711,1741304,1737189,densify,bicycle,11.863424301147461,27.752544403076172
full,14600,15.190048217773438,1745162,1741304,densify,bicycle,11.911295890808105,27.101344108581543
full,14700,15.100000381469727,1743608,1745162,densify,bicycle,10.728416442871094,25.82841682434082
full,14800,15.164159774780273,1746639,1743608,densify,bicycle,11.545727729797363,26.709887504577637
full,14900,15.037440299987793,1745032,1746639,densify,bicycle,10.835968017578125,25.873408317565918
full,18000,12.738304138183594,1525162,1745032,vcp_prune,bicycle,11.240544319152832,23.978848457336426
full,21000,4.483168125152588,1503052,1525162,vcp_prune,bicycle,11.115519523620605,15.598687648773193
full,600,158.5786895751953,218636,138766,densify,garden,45.10822296142578,203.6869125366211
full,700,49.93315124511719,327153,218636,densify,garden,13.452447891235352,63.38559913635254
full,800,7.588863849639893,470716,327153,densify,garden,12.806143760681152,20.395007610321045
full,900,9.283295631408691,604028,470716,densify,garden,12.644479751586914,21.927775382995605
full,1000,10.2041597366333,751241,604028,densify,garden,12.201984405517578,22.40614414215088
full,1100,10.06383991241455,899247,751241,densify,garden,12.336159706115723,22.399999618530273
full,1200,11.053055763244629,1022861,899247,densify,garden,13.336544036865234,24.389599800109863
full,1300,32.64409637451172,1150394,1022861,densify,garden,12.633983612060547,45.278079986572266
full,1400,12.198847770690918,1265490,1150394,densify,garden,13.762656211853027,25.961503982543945
full,1500,13.745152473449707,1365830,1265490,densify,garden,13.865983963012695,27.611136436462402
full,1600,13.86905574798584,1474213,1365830,densify,garden,14.185471534729004,28.054527282714844
full,1700,14.802080154418945,1563540,1474213,densify,garden,14.732255935668945,29.53433609008789
full,1800,16.613439559936523,1661014,1563540,densify,garden,15.076031684875488,31.68947124481201
full,1900,15.773695945739746,1737657,1661014,densify,garden,14.905344009399414,30.67903995513916
full,2000,15.575039863586426,1799177,1737657,densify,garden,15.424287796020508,30.999327659606934
full,2100,16.761920928955078,1876060,1799177,densify,garden,15.848447799682617,32.610368728637695
full,2200,17.328128814697266,1940757,1876060,densify,garden,16.076799392700195,33.40492820739746
full,2300,17.02729606628418,2001565,1940757,densify,garden,15.6146240234375,32.64192008972168
full,2400,17.112064361572266,2067623,2001565,densify,garden,16.036863327026367,33.14892768859863
full,2500,18.20159912109375,2125339,2067623,densify,garden,16.523040771484375,34.724639892578125
full,2600,18.364416122436523,2173577,2125339,densify,garden,17.049280166625977,35.4136962890625
full,2700,18.543840408325195,2206572,2173577,densify,garden,16.546815872192383,35.09065628051758
full,2800,18.45043182373047,2249987,2206572,densify,garden,17.01171112060547,35.46214294433594
full,2900,18.90630340576172,2287306,2249987,densify,garden,17.091583251953125,35.997886657714844
full,3000,19.24198341369629,2325050,2287306,densify,garden,17.856447219848633,37.09843063354492
full,3100,19.33612823486328,2343819,2325050,densify,garden,20.15238380432129,39.48851203918457
full,3200,19.66489601135254,2382212,2343819,densify,garden,19.2675838470459,38.93247985839844
full,3300,20.01203155517578,2426671,2382212,densify,garden,19.744768142700195,39.75679969787598
full,3400,20.32454490661621,2458142,2426671,densify,garden,19.04025650024414,39.36480140686035
full,3500,20.97279930114746,2494466,2458142,densify,garden,19.736576080322266,40.70937538146973
full,3600,20.24652862548828,2507528,2494466,densify,garden,18.597888946533203,38.844417572021484
full,3700,20.68035125732422,2539551,2507528,densify,garden,19.305824279785156,39.986175537109375
full,3800,20.672607421875,2573079,2539551,densify,garden,19.349504470825195,40.022111892700195
full,3900,21.2457275390625,2593911,2573079,densify,garden,18.966463088989258,40.21219062805176
full,4000,21.69536018371582,2619653,2593911,densify,garden,19.101823806762695,40.797183990478516
full,4100,21.138463973999023,2626166,2619653,densify,garden,18.756607055664062,39.895071029663086
full,4200,21.191680908203125,2645740,2626166,densify,garden,18.765823364257812,39.95750427246094
full,4300,21.115903854370117,2659104,2645740,densify,garden,19.4334716796875,40.54937553405762
full,4400,21.72697639465332,2670517,2659104,densify,garden,19.260639190673828,40.98761558532715
full,4500,22.066816329956055,2674873,2670517,densify,garden,18.73753547668457,40.804351806640625
full,4600,21.360639572143555,2685236,2674873,densify,garden,19.454975128173828,40.81561470031738
full,4700,21.35024070739746,2701944,2685236,densify,garden,19.230880737304688,40.58112144470215
full,4800,21.67807960510254,2709873,2701944,densify,garden,19.460128784179688,41.13820838928223
full,4900,22.115327835083008,2709893,2709873,densify,garden,19.127296447753906,41.242624282836914
full,5000,22.213472366333008,2725464,2709893,densify,garden,19.252384185791016,41.46585655212402
full,5100,21.483423233032227,2729572,2725464,densify,garden,16.947296142578125,38.43071937561035
full,5200,21.61190414428711,2730491,2729572,densify,garden,17.00556755065918,38.61747169494629
full,5300,22.573087692260742,2737587,2730491,densify,garden,16.854015350341797,39.42710304260254
full,5400,21.95859146118164,2745491,2737587,densify,garden,16.95631980895996,38.9149112701416
full,5500,21.750560760498047,2743421,2745491,densify,garden,16.41391944885254,38.164480209350586
full,5600,22.709247589111328,2753791,2743421,densify,garden,17.20524787902832,39.91449546813965
full,5700,22.368255615234375,2756259,2753791,densify,garden,16.773120880126953,39.14137649536133
full,5800,22.894399642944336,2768823,2756259,densify,garden,17.382783889770508,40.277183532714844
full,5900,22.549503326416016,2780588,2768823,densify,garden,17.250303268432617,39.79980659484863
full,6000,23.352447509765625,2790776,2780588,densify,garden,16.969472885131836,40.32192039489746
full,6100,22.730655670166016,2792986,2790776,densify,garden,19.195871353149414,41.92652702331543
full,6200,22.356800079345703,2803729,2792986,densify,garden,18.60335922241211,40.96015930175781
full,6300,23.86739158630371,2820932,2803729,densify,garden,18.388896942138672,42.25628852844238
full,6400,22.540672302246094,2821138,2820932,densify,garden,18.000831604003906,40.54150390625
full,6500,22.766624450683594,2830375,2821138,densify,garden,17.621183395385742,40.387807846069336
full,6600,22.12486457824707,2825956,2830375,densify,garden,17.036287307739258,39.16115188598633
full,6700,23.07583999633789,2825141,2825956,densify,garden,17.863679885864258,40.93951988220215
full,6800,22.359743118286133,2820791,2825141,densify,garden,16.776512145996094,39.13625526428223
full,6900,23.388416290283203,2826904,2820791,densify,garden,17.382400512695312,40.770816802978516
full,7000,23.27244758605957,2829357,2826904,densify,garden,17.21855926513672,40.49100685119629
