backward_ms,count,densify_prune_ms,end_iteration_exclusive,experiment,loss_ms,n_gaussians_first,n_gaussians_last,n_gaussians_max,n_gaussians_min,optimizer_ms,render_ms,rgb_loss_ms,scene,start_iteration,total_ms,window
1.077108,100,0.162836,1100,full,0.464148,135657,135657,135657,135657,0.000000,0.601936,0.464148,bicycle,1000,2.306028,1000-1100
4.792371,100,0.265519,14100,full,0.444478,1731569,1731569,1731569,1731569,0.000000,1.006184,0.444478,bicycle,14000,6.508552,14000-14100
4.687153,100,0.000000,16600,full,0.441890,1745032,1745032,1745032,1745032,0.000000,0.978680,0.441890,bicycle,16500,6.107724,16500-16600
2.442276,100,0.224061,1100,full,0.422938,751241,751241,751241,751241,0.000000,0.884739,0.422938,garden,1000,3.974014,1000-1100
8.580261,100,0.391943,14100,full,0.424231,2961724,2961724,2961724,2961724,0.000000,1.487633,0.424231,garden,14000,10.884069,14000-14100
8.388757,100,0.000000,16600,full,0.432179,2951718,2951718,2951718,2951718,0.000000,1.492541,0.432179,garden,16500,10.313477,16500-16600
1.307552,100,0.155662,1100,full,0.444912,222246,222246,222246,222246,0.000000,0.739974,0.444912,room,1000,2.648100,1000-1100
2.460023,100,0.175381,14100,full,0.441920,598464,598464,598464,598464,0.000000,0.801920,0.441920,room,14000,3.879244,14000-14100
2.398464,100,0.000000,16600,full,0.440890,604503,604503,604503,604503,0.000000,0.784140,0.440890,room,16500,3.623494,16500-16600
1.218020,100,0.165150,1100,no_score_gate,0.451490,213705,213705,213705,213705,0.000000,0.604855,0.451490,bicycle,1000,2.439514,1000-1100
7.195393,100,0.359424,14100,no_score_gate,0.444532,2912318,2912318,2912318,2912318,0.000000,1.170107,0.444532,bicycle,14000,9.169456,14000-14100
7.043671,100,0.000000,16600,no_score_gate,0.446459,2922378,2922378,2922378,2922378,0.000000,1.141671,0.446459,bicycle,16500,8.631801,16500-16600
3.083590,100,0.268609,1100,no_score_gate,0.422452,1109497,1109497,1109497,1109497,0.000000,1.007476,0.422452,garden,1000,4.782126,1000-1100
12.462713,100,0.556675,14100,no_score_gate,0.427020,4937463,4937463,4937463,4937463,0.000000,1.774486,0.427020,garden,14000,15.220893,14000-14100
12.225014,100,0.000000,16600,no_score_gate,0.427816,4909872,4909872,4909872,4909872,0.000000,1.733093,0.427816,garden,16500,14.385923,16500-16600
